ordinal,sku,asin,gate,target_regular,target_min,target_max,amazon_consumer_offer,amazon_offer_state,amazon_regular_attribute,amazon_business_attribute,amazon_min_attribute,amazon_max_attribute,promo_state,promo_assignment,live_sale_value,live_sale_start,live_sale_end,v4_target_effective,channelmax_status,channelmax_model,channelmax_price,channelmax_min,channelmax_max,failure_codes,blocker_codes
46,HA-ASCR-ME3A,B0H85V287S,FAIL,76.99,66.95,76.99,,NO_OFFER,86.38,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
47,HD-ASEQ-MFAY,B0H83QW85C,FAIL,252.99,219.57,252.99,,NO_OFFER,271.91,,219.57,252.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,271.91,330.16,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
48,HR-AS7Q-7ZDF,B0H856RRRK,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,65.13,79.09,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
49,HU-ASMI-DN3X,B0H82YMT6K,FAIL,85.99,74.75,85.99,,NO_OFFER,97.51,,74.75,85.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,97.51,118.4,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
50,HX-ASO8-XCL2,B0H832SD15,BLOCKED,130.99,114.27,130.99,130.99,OFFER,130.99,,114.27,130.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_12,,,,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,130.99,113.66,138.02,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
51,HZ-ASPS-4L22,B0H857K38C,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,72.64,88.2,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
52,JC-ASM4-XXW7,B0H84ZL156,FAIL,76.99,66.95,76.99,,NO_OFFER,86.08,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
53,JH-ASV9-Z46X,B0H8369PMK,FAIL,76.99,66.95,76.99,,NO_OFFER,77.64,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,77.64,94.27,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
54,JL-ASUC-JUZE,B0H831MXGD,FAIL,130.99,114.27,130.99,114.27,OFFER,114.59,,114.27,130.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_12,114.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,114.27,114.59,139.15,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_VALUE_DIFFERS_FROM_V4_PROPOSAL|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
55,JS-AS5F-QB8T,B0H822TJ7C,FAIL,85.99,74.75,85.99,,NO_OFFER,93.13,,74.75,85.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,93.13,113.09,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
56,JT-ASKD-KS8T,B0H83Z6S3Q,BLOCKED,297.99,258.57,297.99,297.99,OFFER,297.99,,258.57,297.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,297.99,281.91,342.31,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
57,JU-ASM0-KV4Z,B0H8462L4S,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
58,JU-ASYC-SSJD,B0H854C7SZ,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
59,JY-ASPW-LB4K,B0H84621N6,FAIL,76.99,66.95,76.99,,NO_OFFER,71.14,,67.81,78.53,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
60,KD-AS12-8HZ3,B0H845JBM6,FAIL,76.99,66.95,76.99,52.29,OFFER,52.29,,44.29,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,52.29,46.64,56.63,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_EFFECTIVE_CONSUMER_MISMATCH_CURRENT_SEMANTICS,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
61,KN-ASYZ-ST4M,B0H83XBXHX,FAIL,76.99,66.95,76.99,,NO_OFFER,77.52,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
62,KP-ASYC-RN84,B0H83FYZR3,FAIL,252.99,219.57,252.99,,NO_OFFER,285.02,,219.57,252.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,285.02,346.1,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
63,LH-ASP7-KZR4,B0H82XNFRW,BLOCKED,252.99,219.57,252.99,252.99,OFFER,252.99,,219.57,252.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,252.99,221.27,268.69,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
64,LJ-ASYO-FWJK,B0H853SHVC,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
65,LK-AS7X-K43B,B0H84CGGXL,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
66,LP-AS9J-HSVB,B0H82B7KK1,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.64,78.48,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
67,LU-ASK0-LSDF,B0H84YZDB7,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.89,78.79,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
68,ME-AS1I-SEX2,B0H83RVHNF,BLOCKED,252.99,219.57,252.99,252.99,OFFER,252.99,,219.57,252.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,252.99,223.14,270.96,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
69,MF-AS0J-YRT4,B0H82NHQCL,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
70,MP-ASYO-QNU2,B0H84Z9KWL,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
71,MP-ASZ9-TKE7,B0H837HLKC,FAIL,85.99,74.75,85.99,,NO_OFFER,93.13,,74.75,85.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,93.13,113.09,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
72,NC-ASPL-EXE8,B0H83QRV43,FAIL,76.99,66.95,76.99,,NO_OFFER,70.88,,67.57,78.25,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
73,NJ-ASAC-PTK2,B0H82X48CD,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
74,NM-ASEW-S2SK,B0H86TVN3C,FAIL,76.99,66.95,76.99,66.98,OFFER,77.64,,66.95,96.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,77.64,94.27,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
75,NS-ASSD-B3JJ,B0H82L945T,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,65.13,79.09,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
76,NT-ASIL-V5LK,B0H84547PM,FAIL,76.99,66.95,76.99,77.52,OFFER,77.52,,67.81,78.53,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,77.52,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH|AMAZON_EFFECTIVE_CONSUMER_MISMATCH_CURRENT_SEMANTICS,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
77,NV-AS86-HD44,B0H85KQJKS,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
78,PB-ASAF-G2T6,B0H82K7Y7S,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,65.64,79.69,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
79,PJ-ASAX-6LTG,B0H82T12L7,FAIL,252.99,219.57,252.99,,NO_OFFER,271.91,,219.57,252.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,271.91,330.16,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
80,PJ-ASDX-E8LW,B0H85MGP35,FAIL,76.99,66.95,76.99,,NO_OFFER,48.73,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,40.13,48.73,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
81,PL-ASR9-U94A,B0H83RR2XQ,FAIL,130.99,114.27,130.99,,NO_OFFER,138.98,,114.27,130.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_12,,,,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,138.98,168.75,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
82,PP-AS23-SPLQ,B0H84CDNQG,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
83,PR-AS79-8SDF,B0H82L74PL,FAIL,85.99,74.75,85.99,,NO_OFFER,93.13,,74.75,85.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,93.13,113.09,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
84,PT-AS5B-Z2XH,B0H84Z6QWY,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
85,PU-AS3D-SA5Z,B0H83H71F8,BLOCKED,297.99,258.57,297.99,297.99,OFFER,297.99,,258.57,297.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,297.99,284.4,345.34,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
86,PW-ASDZ-CSR8,B0H839TPC5,FAIL,130.99,114.27,130.99,,NO_OFFER,138.98,,114.27,130.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_12,,,,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,138.98,168.75,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
87,PY-ASBM-WX6W,B0H82B7GV5,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
88,QC-ASX2-RHPA,B0H83TQPJB,BLOCKED,297.99,258.57,297.99,297.99,OFFER,297.99,,258.57,297.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,297.99,281.91,342.31,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
89,QE-ASEQ-4YV5,B0H82CBLRM,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
90,QP-ASAD-PTLX,B0H85DG2JQ,FAIL,76.99,66.95,76.99,66.98,OFFER,70.88,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
91,QW-ASRZ-SYKC,B0H83MDDBL,FAIL,297.99,258.57,297.99,297.99,OFFER,297.99,,288.39,319.47,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,297.99,289.4,351.42,AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
92,QX-AS89-H8YC,B0H82RQ226,FAIL,76.99,66.95,76.99,,NO_OFFER,77.64,76.99,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,77.64,94.27,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
